#Thorlabs FTS
[SpectrumHeader]
#Date;20200128
#Time;19020057
#GMTTime;18020057
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;3
#SSmoothParam1;100
#SSmoothParam2;2
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.000000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;Smoothed
#Comment;""
[Data]
3.434937134e+02;5.674107233e-04
3.436010742e+02;6.763484562e-04
3.437084351e+02;6.235853070e-04
3.438157959e+02;7.911914145e-04
3.439231873e+02;6.478248397e-04
3.440305786e+02;7.166405558e-04
3.441379700e+02;6.023280439e-04
3.442453918e+02;7.515485631e-04
3.443528137e+02;6.247111014e-04
3.444602356e+02;7.685808814e-04
3.445676575e+02;6.324392161e-04
3.446751099e+02;7.203037385e-04
3.447825317e+02;6.234255852e-04
3.448899841e+02;7.341488381e-04
3.449974670e+02;5.900380202e-04
3.451049194e+02;7.237546961e-04
3.452124023e+02;5.904047866e-04
3.453198853e+02;7.301528240e-04
3.454273987e+02;6.373841316e-04
3.455348816e+02;7.506562397e-04
3.456423950e+02;6.181642530e-04
3.457499084e+02;7.677577669e-04
3.458574524e+02;6.554570282e-04
3.459649658e+02;7.129925070e-04
3.460725098e+02;5.889954627e-04
3.461800537e+02;7.310782676e-04
3.462876282e+02;5.950840423e-04
3.463951721e+02;7.181144902e-04
3.465027466e+02;6.149869296e-04
3.466103210e+02;7.624635473e-04
3.467179260e+02;6.389155169e-04
3.468255005e+02;7.244522567e-04
3.469331055e+02;5.872604670e-04
3.470407410e+02;7.283823215e-04
3.471483459e+02;6.242332747e-04
3.472559814e+02;7.303263410e-04
3.473636169e+02;5.929588224e-04
3.474712524e+02;7.362341858e-04
3.475788879e+02;6.188337575e-04
3.476865540e+02;7.197998348e-04
3.477942200e+02;6.004025345e-04
3.479018860e+02;7.388450322e-04
