#Thorlabs FTS
[SpectrumHeader]
#Date;20200128
#Time;19052957
#GMTTime;18052957
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;3
#SSmoothParam1;100
#SSmoothParam2;2
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.000000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;Smoothed
#Comment;""
[Data]
3.427424011e+02;9.810474003e-04
3.428497009e+02;5.158726126e-04
3.429570313e+02;9.077009745e-04
3.430643311e+02;4.416404408e-04
3.431716614e+02;9.085469064e-04
3.432790222e+02;5.071898922e-04
3.433863525e+02;9.417970432e-04
3.434937134e+02;5.057698581e-04
3.436010742e+02;9.108455852e-04
3.437084351e+02;4.877650354e-04
3.438157959e+02;9.624742088e-04
3.439231873e+02;5.296244635e-04
3.440305786e+02;9.349584579e-04
3.441379700e+02;4.940067302e-04
3.442453918e+02;9.673375753e-04
3.443528137e+02;4.575731582e-04
3.444602356e+02;8.873449406e-04
3.445676575e+02;5.094876979e-04
3.446751099e+02;9.614013834e-04
3.447825317e+02;4.631660995e-04
3.448899841e+02;9.070490487e-04
3.449974670e+02;4.480906937e-04
3.451049194e+02;9.119016468e-04
3.452124023e+02;4.782368778e-04
3.453198853e+02;9.596362361e-04
3.454273987e+02;4.563471011e-04
3.455348816e+02;9.082839242e-04
3.456423950e+02;4.596978833e-04
3.457499084e+02;8.969936753e-04
3.458574524e+02;5.012677866e-04
3.459649658e+02;9.198436746e-04
3.460725098e+02;4.459664342e-04
3.461800537e+02;8.890135214e-04
3.462876282e+02;4.982628161e-04
3.463951721e+02;8.909390890e-04
3.465027466e+02;5.241676117e-04
3.466103210e+02;9.231441654e-04
3.467179260e+02;4.356504360e-04
3.468255005e+02;8.953800425e-04
3.469331055e+02;4.992144532e-04
3.470407410e+02;9.140681941e-04
3.471483459e+02;4.919628846e-04
3.472559814e+02;9.522654000e-04
3.473636169e+02;4.569836310e-04
3.474712524e+02;9.321830585e-04
3.475788879e+02;5.009406013e-04
3.476865540e+02;8.965181769e-04
3.477942200e+02;4.651503987e-04
3.479018860e+02;9.235263569e-04
3.480095825e+02;4.446330422e-04
3.481172485e+02;9.414306260e-04
3.482249451e+02;5.136597320e-04
3.483326721e+02;9.389460320e-04
3.484403687e+02;5.037331721e-04
3.485480957e+02;9.370199405e-04
3.486558228e+02;4.790805688e-04
3.487635498e+02;9.251319570e-04
3.488713074e+02;4.472614673e-04
3.489790344e+02;9.051192319e-04
3.490868225e+02;4.897334729e-04
3.491945801e+02;9.108455270e-04
3.493023376e+02;4.329667136e-04
3.494101257e+02;9.211738943e-04
3.495179138e+02;4.381128820e-04
3.496257019e+02;9.378899704e-04
3.497335205e+02;4.583481350e-04
3.498413391e+02;8.798541967e-04
3.499491577e+02;4.623132700e-04
3.500569763e+02;9.625148377e-04
3.501648254e+02;4.570673627e-04
3.502726440e+02;9.291512542e-04
3.503805237e+02;4.928049748e-04
3.504883728e+02;8.126811590e-04
3.505962219e+02;4.575710045e-04
3.507041016e+02;9.354048525e-04
3.508119812e+02;4.808147205e-04
3.509198914e+02;8.796153706e-04
3.510277710e+02;4.343131150e-04
3.511356812e+02;9.139716276e-04
3.512435913e+02;4.537932982e-04
3.513515015e+02;8.695330471e-04
3.514594421e+02;4.666421737e-04
3.515673828e+02;9.382328717e-04
3.516753235e+02;4.490306601e-04
3.517832642e+02;9.011282818e-04
3.518912354e+02;4.854032886e-04
3.519992065e+02;9.434450185e-04
3.521071777e+02;4.739103606e-04
3.522151489e+02;8.376736660e-04
3.523231506e+02;4.491099098e-04
3.524311523e+02;9.396031382e-04
3.525391541e+02;4.232786305e-04
3.526471558e+02;9.363615536e-04
3.527551880e+02;4.796578141e-04
3.528632202e+02;8.896408835e-04
3.529712524e+02;4.879350599e-04
3.530792847e+02;9.879439604e-04
3.531873474e+02;4.194336361e-04
3.532953796e+02;8.854784537e-04
3.534034729e+02;4.420934420e-04
3.535115356e+02;8.864387637e-04
3.536196289e+02;4.359852755e-04
3.537276917e+02;8.857336361e-04
