#Thorlabs FTS
[SpectrumHeader]
#Date;20200127
#Time;14054888
#GMTTime;13054888
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.010000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;absorbtion ethgl
#Comment;""
[Data]
3.609869385e+02;5.903347046e-04
3.610955200e+02;1.059034374e-03
3.612041321e+02;5.285395891e-04
3.613127441e+02;1.027513063e-03
3.614213867e+02;6.023411988e-04
3.615299988e+02;1.103377086e-03
3.616386414e+02;6.349745090e-04
3.617473145e+02;1.053330605e-03
3.618559570e+02;6.039933651e-04
3.619646301e+02;1.060118317e-03
3.620732727e+02;6.522761541e-04
3.621819763e+02;1.157479943e-03
3.622906494e+02;6.398846162e-04
3.623993530e+02;1.121777459e-03
3.625080261e+02;6.770672044e-04
3.626167297e+02;1.126058516e-03
3.627254639e+02;7.036809693e-04
3.628341675e+02;1.136155333e-03
3.629429016e+02;6.448811037e-04
3.630516357e+02;1.192503842e-03
3.631604004e+02;7.113213651e-04
3.632691345e+02;1.212852891e-03
3.633778992e+02;7.735676481e-04
3.634866638e+02;1.210483955e-03
3.635954285e+02;8.524575969e-04
3.637042236e+02;1.297900453e-03
3.638130188e+02;8.128155023e-04
3.639218140e+02;1.205695793e-03
3.640306091e+02;8.486734005e-04
3.641394043e+02;1.333773369e-03
3.642482300e+02;9.126149816e-04
3.643570557e+02;1.317953109e-03
3.644658813e+02;9.107841179e-04
3.645747375e+02;1.366987242e-03
3.646835632e+02;9.116937290e-04
3.647924194e+02;1.401627320e-03
3.649013062e+02;9.808066534e-04
3.650101624e+02;1.497340505e-03
3.651190491e+02;9.762235568e-04
3.652279358e+02;1.495805453e-03
3.653368225e+02;1.038684743e-03
