#Thorlabs FTS
[SpectrumHeader]
#Date;20200127
#Time;14015291
#GMTTime;13015291
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.010000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;absorbtion r6g
#Comment;""
[Data]
3.473636169e+02;3.687735007e-04
3.474712524e+02;8.425489068e-04
3.475788879e+02;3.679166257e-04
3.476865540e+02;8.324651862e-04
3.477942200e+02;3.534043208e-04
3.479018860e+02;8.313293220e-04
3.480095825e+02;3.879201540e-04
3.481172485e+02;8.817861672e-04
3.482249451e+02;3.790156334e-04
3.483326721e+02;8.656285354e-04
3.484403687e+02;4.072671290e-04
3.485480957e+02;8.346389513e-04
3.486558228e+02;4.476650793e-04
3.487635498e+02;9.023501771e-04
3.488713074e+02;3.742431581e-04
3.489790344e+02;8.571753278e-04
3.490868225e+02;3.987602831e-04
3.491945801e+02;8.561540744e-04
3.493023376e+02;3.997808672e-04
3.494101257e+02;8.610171499e-04
3.495179138e+02;3.915267880e-04
3.496257019e+02;8.799937787e-04
3.497335205e+02;3.868583299e-04
3.498413391e+02;8.610820514e-04
3.499491577e+02;3.895770060e-04
3.500569763e+02;8.330337587e-04
3.501648254e+02;3.872600500e-04
3.502726440e+02;8.555300301e-04
3.503805237e+02;3.279773518e-04
3.504883728e+02;8.144451422e-04
3.505962219e+02;3.875092079e-04
3.507041016e+02;8.511679480e-04
3.508119812e+02;3.913657856e-04
3.509198914e+02;8.494544309e-04
3.510277710e+02;3.894538095e-04
3.511356812e+02;8.132820367e-04
3.512435913e+02;3.642555384e-04
3.513515015e+02;8.682223270e-04
3.514594421e+02;4.164580314e-04
3.515673828e+02;8.355946629e-04
3.516753235e+02;3.905689227e-04
3.517832642e+02;8.651719545e-04
3.518912354e+02;4.029593838e-04
3.519992065e+02;8.544834564e-04
3.521071777e+02;4.182762932e-04
3.522151489e+02;8.815444889e-04
3.523231506e+02;3.820482816e-04
3.524311523e+02;7.979245274e-04
3.525391541e+02;3.910125524e-04
3.526471558e+02;8.168907370e-04
3.527551880e+02;3.781375708e-04
3.528632202e+02;8.347299881e-04
3.529712524e+02;3.897228744e-04
3.530792847e+02;8.693962009e-04
3.531873474e+02;3.719765518e-04
